first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
,,Saya Pools LLC,(725) 305-2802,info@sayapools.com,sayapools.com,4.7,33,,unknown,North Las Vegas,"Angle: ** ""Your logo file is literally named 'Your paragraph text.jpg' and the click-to-dial link in your phone number has a typo (tel:720 instead of 725) — every mobile click is going to the wrong area code. 7-day fix: branded logo + corrected phone link + canonical NAP across Yelp/GMB = recover the 20-30% of mobile callers misrouting, plus the trust signal of looking finished.",9.0,pool
,,Bella Pools,(702) 728-4816,,bellapoolsandspas.com,4.5,20,10,unknown,Pahrump,"Angle: ** ""Your homepage testimonials still show the WordPress theme's placeholder text — 'Mom: My Son is the best Pool guy ever' — that's killing trust the moment a homeowner scrolls past the hero. 7-day fix: pull 8-10 real Google reviews into testimonials + one canonical phone number across website/Yelp/GMB = the trust signal flips from 'hobby site' to '10-year operator'.",9.0,pool
Bob,Jones,Bob Jones Pool Service & Repair,(702) 294-1759,,bobjonespoolservice.com,4.7,28,32,unknown,Boulder City,"Angle: ** ""32 years in Boulder City is the longest tenure of anyone I'm pitching this month — and your site doesn't show ANY of it above the fold. 'Since 1994' should be the first thing every visitor sees. 30-day fix: hero refresh leading with '32 Years Serving Boulder City' + dedicated acid-wash landing page (your specialty) + neighborhood pages (BC + Henderson + Anthem) = lock in premium pricing and double inbound leads in 60 days.",9.0,pool
,,Palm Pool Care,(702) 763-7374,office@palmpoolcare.com,palmpoolcare.com,4.7,28,,unknown,Mesquite,"Angle: ** ""Your website is literally built on a theme called 'LawFirmSites' — Google sees 'law firm' schema markup on a pool site, which is hurting your local SEO ranking. 30-day fix: pool-specific theme + Mesquite vs St George service-area pages + named technician profiles (you've already got 8+ named in testimonials) = $30-50K/yr in recovered local-search traffic.",8.5,pool
,,Alpha & Omega Pools (AO Pools),(702) 560-7665,,aopools.com,4.6,42,7,unknown,Henderson,"Angle: ** ""Your homepage features a 'Best of Henderson 2016' badge and copyright still reads 2023 — homeowners checking you out in 2026 see a site that looks abandoned. Plus you're on HubSpot's FREE tier which adds their branding footer killing your trust signal. 30-day fix: paid site + updated copyright + current trust signals = stop bleeding the 30%+ of clicks that bounce because the site looks dead.",8.5,pool
Dave,Rubinson,Dave Rubinson Pools LLC,(702) 767-4249,,daverubinsonpoolsllc.com,4.5,22,5,unknown,Henderson,"Angle: ** ""Dave, your site's content hasn't been touched since March 2021 — homeowners can tell from the AI-template phrasing ('Indeed,' 'Certainly,' 'In conclusion'). Your brand has your name on it which is gold; the site doesn't capitalize on that at all. 30-day fix: hero refresh with YOUR face + recent customer pools + neighborhood pages for Green Valley/Anthem/Seven Hills = 8-15 new bookings/month.",8.5,pool
,,Accredited Pool Service,(702) 425-7665,,accreditedpoolservice.com,4.5,21,31,unknown,Henderson,"Angle: ** ""30 years in the Las Vegas Valley (since 1995) is incredible — and your site name says 'Accredited' but never shows WHICH certifications you actually hold (CPO? BBB? Manufacturer-certified?). 14-day fix: trust-badge wall above the fold + 'Why accreditation matters in 2026' education page + 'Since 1995' hero = trust signal goes from generic claim to proof = 25-40% form-fill increase.",8.0,pool
,,Pahrump Valley Pool Service,(775) 775-1177,PahrumpValleyPoolService@gmail.com,pvpoolguy.com,4.6,15,,unknown,Pahrump,"Angle: ** ""Your homepage has a giant 'COMING SOON UNDER CONSTRUCTION' banner sitting right above the contact section — every visitor reading that bounces. Plus the @gmail.com business email is getting filtered to spam in Gmail/Outlook. 14-day fix: finish the construction section + biz email on your own domain + the hero title isn't repeated 3 times = recover the 40%+ of visitors leaving on the placeholder text.",8.0,pool
Cory,Gorman,NO Worries Pool Care,,,,4.8,18,,unknown,Boulder City,"Angle: ** ""Cory, you're speaking at Boulder Business Development AND getting Nextdoor referrals but every lead lives on Facebook — one algorithm change and the phone goes quiet. 14-day fix: own domain + GMB profile + repurpose your FB testimonials onto a homepage = 3 lead sources instead of 1, plus you finally rank on Google for 'pool service Boulder City'.",8.0,pool
Tim,Oliver,Tim Oliver's Pool Service LLC,(702) 293-6325,,,4.5,21,,unknown,Boulder City,"Angle: ** ""Tim, you have the kind of word-of-mouth that money can't buy — Nextdoor neighbors are asking for you by name. But the moment a new Boulder City pool owner Googles 'pool service Boulder City NV' they don't find you. 21-day fix: 4-page site with your name front and center + GMB + claim those Nextdoor mentions on your own domain = double the inbound calls within 60 days.",8.0,pool
,,Conejo Pool Service,(702) 822-0907,lvconejo@gmail.com,,4.6,24,,unknown,Las Vegas,"Angle: ** ""@gmail.com business email is getting filtered to spam by Gmail and Outlook — you're losing 20-30% of inbound inquiries before they ever reach your inbox. Plus zero website means every Google search for 'pool service Spring Valley' shows competitors instead of you. 14-day fix: branded email on conejopools.com + 5-page local site = stop losing inquiries you've already earned.",7.5,pool
