First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
Ryan,Morneault,All In Pest Solutions,allinpestsolutions@gmail.com,(775) 469-0919,4740 Jacks Dr,Pahrump,NV,89048,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Pahrump pest, top-priority. Full angle in research CSV."
Pedro,Dominguez,Amazon Pest Control,,(702) 558-3730,375 N Stephanie St Ste 1512,Henderson,NV,89014,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Henderson pest, top-priority. Full angle in research CSV."
Bill,,BC Pest Control (Stefani's),info@mybcpest.com,(702) 238-5627,,Boulder City,NV,89005,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Boulder City pest, top-priority. Full angle in research CSV."
,,Bee Wise Pest Control,info@beewisepestcontrol.com,(702) 743-0803,9030 W Sahara Ave #405,Las Vegas,NV,89117,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Las Vegas pest, top-priority. Full angle in research CSV."
Nathan,Lemons,Beyond Pest Control,,(702) 333-5498,7322 S Rainbow Blvd Suite 206,Las Vegas,NV,89139,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Las Vegas pest, top-priority. Full angle in research CSV."
Adam,Turner,Bomber Pest Control,,(702) 376-0982,1300 Denver Street,Boulder City,NV,89005,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Boulder City pest, top-priority. Full angle in research CSV."
Trevor,Lavancher,Dr. Death Pest Control,info@drdeathpest.com,(702) 371-8494,,Henderson,NV,89015,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Henderson pest, top-priority. Full angle in research CSV."
,,Genuine Pest Control,office@genuinepestcontrol.net,(775) 990-8057,2360 E Calvada Ste F,Pahrump,NV,89048,"vegas-pest-2026-05,batch-1,icp-8.5,top-priority","Score 8.5/10. Pahrump pest, top-priority. Full angle in research CSV."
,,Aspen Pest Control,,(702) 450-0780,,Henderson,NV,,"vegas-pest-2026-05,batch-1,icp-7.5,mid-priority","Score 7.5/10. Henderson pest, mid-priority. Full angle in research CSV."
,,Axe Exterminators,,(775) 990-2065,,Pahrump,NV,89048,"vegas-pest-2026-05,batch-1,icp-7.5,mid-priority","Score 7.5/10. Pahrump pest, mid-priority. Full angle in research CSV."
,,Bugs Bennett Pest Control,,(775) 727-1255,1640 Keenan Way,Pahrump,NV,89048,"vegas-pest-2026-05,batch-1,icp-7.5,mid-priority","Score 7.5/10. Pahrump pest, mid-priority. Full angle in research CSV."
Jason,Kibby,Henderson Pest Control,,(702) 755-2280,817 Sun Bridge Ln,Henderson,NV,89002,"vegas-pest-2026-05,batch-1,icp-7.5,mid-priority","Score 7.5/10. Henderson pest, mid-priority. Full angle in research CSV."
,,Purple Pest Solutions,,(702) 999-9999,,Henderson,NV,,"vegas-pest-2026-05,batch-1,icp-7.5,mid-priority","Score 7.5/10. Henderson pest, mid-priority. Full angle in research CSV."
