business_name,phone,city,metro,owner,website,rating,review_count,primary_pain,hook,confidence
Cool Dip Swimming Pool Service and Repair,(559) 281-3562,Fresno,"Fresno, CA",unknown,yelp.com/biz/cool-dip-swimming-pool-service-and-repair-fresno,1.0,1,Reviews,I noticed Cool Dip has a 1-star rating and an unclaimed Yelp page — that's a major trust gap.,verified
Aquacorps Pool Services,(813) 833-0660,Tampa FL,Tampa FL,,,3.0,2,Reviews,I noticed you're sitting at 3 stars with only 2 reviews — one bad experience is defining your whole reputation.,verified
Clear Choice Pool Service,(559) 960-5675,Fresno,"Fresno, CA",Lewis,yelp.com/biz/clear-choice-pool-service-fresno-2,3.7,7,Reviews,I noticed Clear Choice has a 3.7 rating — that's below the trust threshold for most homeowners.,verified
Sunrise Pool Care,(559) 705-9238,Fresno,"Fresno, CA",unknown,sunrisepoolcleaning.com,1.0,1,Reviews,I noticed Sunrise Pool Care has a 1-star rating on Yelp — that's actively costing you calls.,verified
Aquatic Solutions Pool Service,(951) 255-1541,Riverside / IE,Riverside / IE,Jeff,aqspool.com,3.5,48,Reviews,I noticed Aquatic Solutions sits at 3.5 stars on Yelp — that's costing you leads every week.,verified
Paules Crystal Clean Pools,(909) 273-4569,San Bernardino / IE,San Bernardino / IE,Paul,paulescrystalcleanpools.com,3.6,,Reviews,I noticed Paules has a decent site but a 3.6-star Yelp rating — that's turning away people before they even call.,verified
Infinity Pools Service,(407) 714-7971,Reunion,"Reunion, Orlando FL",,,3.7,6,Reviews,I noticed your 3.7 rating with only 6 reviews — that combination kills conversions from Google Maps.,verified
Sneth's Pool Services,(726) 610-3873,San Antonio TX,San Antonio TX,,sneths.com,3.7,11,Reviews,I noticed Sneth's is sitting at 3.7 stars — below the threshold most people use before they'll even read the reviews.,verified
Carolinas Pool Cleaning,(704) 899-5509,Charlotte NC,Charlotte NC,Charles B.,carolinaspoolcleaning.com,3.7,6,Reviews,I noticed Carolinas Pool Cleaning is sitting at 3.7 stars on Yelp with only 6 reviews.,verified
Carolina Pool Services & Supplies,(704) 385-1824,Charlotte NC,Charlotte NC,Jeff C.,charlottepoolservices.com,3.7,12,Reviews,I noticed you're at 3.7 stars on Yelp — that rating is quietly costing you inbound leads.,verified
SGV Pool Pros,(980) 616-8147,Mint Hill,"Mint Hill, Charlotte NC",,sgvpoolpros.net,3.8,4,Reviews,I noticed SGV Pool Pros has 4 reviews at 3.8 stars — barely visible to anyone searching locally.,verified
Best Florida Pools & Spa,(407) 810-4243,Orlando FL,Orlando FL,Koren Elkabez,,3.9,38,Reviews,I noticed you have 38 reviews but sitting at 3.9 stars — that rating is costing you calls every day.,verified
The Pool Guys,(210) 570-5217,San Antonio TX,San Antonio TX,,thepoolguys.net,3.9,9,Reviews,I noticed you're sitting at 3.9 stars on Yelp — the number that makes people scroll past to the next option.,verified
Fiesta Pool and Spa,(210) 702-7863,San Antonio TX,San Antonio TX,,,3.9,37,Reviews,I noticed Fiesta Pool is at 3.9 stars across 37 reviews — competitors are winning the comparison on trust alone.,verified
Lucero Pool Service,(626) 409-5122,Fontana / IE,Fontana / IE,Cameron L.,yelp.com/biz/lucero-pool-service-fontana,4.6,9,Reviews,I noticed Lucero has solid before/after work but only 9 reviews — almost invisible to anyone searching cold.,verified
Tony's Pool Service,(559) 960-3559,Clovis,"Clovis, Fresno CA",Robert,yelp.com/biz/tonys-pool-service-clovis,4.8,53,Website,I noticed Tony's Pool Service has no standalone website — just a Yelp page.,verified
Sav-a-Buc Pools,(813) 384-7665,Brandon,"Brandon, Tampa FL",Eric Johnson,,,,Website,"I noticed Sav-a-Buc doesn't have a website — when people Google pool service in Brandon, you're invisible.",verified
Alpha Pool Service,(832) 528-3943,Houston TX,Houston TX,,,5.0,1,Reviews,I noticed you have one review and no website — that makes it nearly impossible for new customers to find you.,verified
Pool Medic,(469) 718-9656,Dallas TX,Dallas TX,,facebook.com/PoolMedicServices,4.5,20,Website,I noticed Pool Medic only has a Facebook page — no real website when Dallas homeowners search for pool service.,verified
Frog's Pool Service and Spa Repair,(559) 912-4357,Fresno,"Fresno, CA",Mike Alexander,yelp.com/biz/frogs-pool-service-and-spa-repair-fresno-3,5.0,10,Reviews,I noticed Frog's only has 10 reviews — hard to win new customers against shops with 100+.,verified
A-1 Pool Service and Repair,(559) 905-3825,Fresno,"Fresno, CA",Chris F.,yelp.com/biz/a-1-pool-service-and-repair-fresno-2,,0,Reviews,I noticed A-1 has 50 years in Fresno but zero online reviews — new customers can't find you.,verified
Fancher Creek Pool Service,(559) 601-6082,Fresno,"Fresno, CA",Troy and Jason,yelp.com/biz/fancher-creek-pool-service-fresno,4.7,3,Website,I noticed Fancher Creek has no website — only a Yelp page with 3 reviews to show for 15 years.,verified
Diamond Clear Pool Service,(559) 513-4162,Fresno,"Fresno, CA",unknown,yelp.com/biz/diamond-clear-pool-service-fresno,,0,Website,I noticed Diamond Clear has no website and no reviews — invisible to anyone searching online.,verified
Azer Pool Services,(678) 794-2937,Buford,"Buford, Atlanta GA",,,4.0,5,Reviews,I noticed you only have 5 reviews — a prospect Googling pool service in Buford probably scrolls right past you.,verified
Orangecrest Pool Repair & Maintenance,(951) 519-8510,Riverside / IE,Riverside / IE,Jimmy,yelp.com/biz/orangecrest-pool-repair-and-maintenance-riverside,5.0,14,Website,I noticed Orangecrest has zero website — Yelp-only means you own nothing about your own presence.,verified
Rancho Cucamonga Pool Service,(909) 938-8935,Rancho Cucamonga / IE,Rancho Cucamonga / IE,,yelp.com/biz/rancho-cucamonga-pool-service-rancho-cucamonga-2,5.0,2,Website,I noticed Rancho Cucamonga Pool Service is Yelp-only with 2 reviews — invisible to anyone searching Google.,verified
SwimHappy Pool Service & Repair,(602) 638-2400,Phoenix AZ,Phoenix AZ,,swimhappypools.com,,,Low Volume,I noticed SwimHappy has a solid site and service — looks like there's room to scale the lead flow.,verified
Gilbert Poolman LLC,(480) 619-7472,Gilbert,"Gilbert, Phoenix AZ",Jake Boyer,gilbertpoolman.com,,,Google Page,I noticed Gilbert Poolman isn't showing in the top 3 map results for Gilbert pool service.,verified
